series_id,mse,mae,mase
br_female_outerwear_91,3.9803806855104764e-06,0.001217110089395874,0.38553911928538576
br_female_outerwear_92,3.210047017127653e-05,0.004208301975466418,0.5874827428808216
br_female_outerwear_93,1.866498031061046e-05,0.0025020834546393292,0.44484576840251233
br_female_outerwear_94,7.443892336597348e-06,0.0018654302458486279,0.47583862273243316
br_female_outerwear_95,3.203828918433243e-06,0.0012911333793579238,0.25157338833413484
br_female_outerwear_96,1.4245620524224726e-05,0.002299096336913055,0.45048100953537545
br_female_outerwear_97,3.5460895609249914e-06,0.0011204323982054577,0.661431006123652
br_female_outerwear_98,4.068560280153443e-06,0.0015285652918344114,0.7421412624039259
br_female_outerwear_99,6.840787050902206e-06,0.0014577224706417617,0.554695095990852
br_female_outerwear_100,1.8162507382048133e-05,0.003813386573525666,1.247774721356854
br_female_outerwear_101,4.589350857393602e-06,0.0013000983638351638,0.3981454355269894
br_female_outerwear_102,1.1739005934230096e-05,0.0019976476844939355,0.5747960953037873
br_female_outerwear_103,1.3476143606560982e-05,0.0032493556677713527,0.8905480728018474
br_female_outerwear_104,3.796789789860072e-05,0.005160433364095827,0.971287023934926
br_female_outerwear_105,1.2693587200973784e-05,0.0029751135502799845,1.1350012295590088
br_female_outerwear_106,6.938484181124929e-06,0.0016404198617718825,0.5202084761339317
br_female_outerwear_107,1.8496502872574216e-05,0.002663729992966795,0.6332567853409719
br_female_outerwear_108,5.188888758730092e-06,0.001165314009369992,0.5559096515897212
br_female_outerwear_109,8.631573051883427e-07,0.0008127477434972444,0.3932003007390644
br_female_outerwear_110,6.06850708050655e-07,0.0006288703750109515,0.24251652896124917
br_female_outerwear_111,1.6907635060362165e-06,0.0009501792110971521,0.27114162871033853
br_female_outerwear_112,4.338779077784819e-06,0.0013144979771989352,0.38998593647315893
br_female_outerwear_113,3.5717636119563604e-06,0.0014988437502566705,0.6024685159403218
br_female_outerwear_114,8.134964984658729e-06,0.0022091603428295126,0.4238749127278896
br_female_outerwear_115,3.895950563424858e-06,0.0009406248918308353,0.4869332112109258
br_female_outerwear_116,7.736894990948564e-06,0.0022796385243365786,0.46953862048212364
br_female_outerwear_117,4.480086302501829e-05,0.005707269376181035,0.43402009001834185
br_female_outerwear_118,2.25919193912602e-06,0.0010736823931365438,0.5002014853844345
br_female_outerwear_119,1.9899882584502573e-06,0.0009387135911608008,0.3715811005135102
br_female_outerwear_120,6.980603595035241e-06,0.0013685930850533554,0.4133549403717184
br_female_outerwear_121,1.2738083524995773e-06,0.000631200137178224,0.26460053235093045
br_female_outerwear_122,4.431285336227426e-06,0.0010826475035763138,0.3933521700971945
br_female_outerwear_123,4.40986622350551e-06,0.001216005465745651,0.4757969201058333
br_female_outerwear_124,1.2662315793211984e-06,0.0006972386808374876,0.2343439897514544
br_female_outerwear_125,1.1912675816148078e-06,0.0008910059986863261,0.28643516462002666
br_female_outerwear_126,2.352960630106866e-05,0.0032716218006902218,0.37011091518021927
br_female_outerwear_127,1.0620129286567778e-06,0.0008395539790076051,0.38535080103179425
br_female_outerwear_128,1.5042901915825666e-05,0.0023073432901220088,0.4514097537788544
br_female_outerwear_129,3.999789362731496e-06,0.0010786811090263962,0.3878974949941632
br_female_outerwear_130,2.006556704651443e-05,0.003615692420976096,0.2683169472728213
br_female_outerwear_131,8.690023660961709e-06,0.0024878734387534748,0.8572803748260698
br_female_outerwear_132,1.1424100114671404e-06,0.000995963410152528,1.514356150389371
br_female_outerwear_133,7.261884101384589e-05,0.004730010601894644,0.589878784011123
br_female_outerwear_134,2.4793086838500808e-05,0.0027146947495002025,0.5394033189792229
